hb_W_m2K,temps_h,temperature_non_regulee_C
20,13.25,28.199395186831367
20,13.5,28.319570203437998
20,13.75,28.43866802460758
20,14.0,28.55669830584126
20,14.25,28.673670616092544
20,14.5,28.789594438543112
20,14.75,28.904479171371598
20,15.0,29.01833412851557
20,15.25,29.13116854042656
20,15.5,29.242991554818467
20,15.75,29.35381223740913
20,16.0,29.46363957265533
20,16.25,29.57248246448117
20,16.5,29.680349736999936
20,16.75,29.787250135229478
20,17.0,29.893192325801202
20,17.25,29.998184897662675
20,17.5,30.102236362773954
20,17.75,30.20535515679768
20,18.0,30.30754963978295
20,18.25,30.408828096843102
20,18.5,30.509198738827404
20,18.75,30.608669702986717
20,19.0,30.7072490536332
20,19.25,30.804944782794102
20,19.5,30.901764810859703
20,19.75,30.99771698722541
20,20.0,31.09280909092814
20,20.25,31.18704883127699
20,20.5,31.280443848478228
20,20.75,31.373001714254713
20,21.0,31.464729932459747
20,21.25,31.555635939685423
20,21.5,31.64572710586552
20,21.75,31.73501073487303
20,22.0,31.823494065112236
20,22.25,31.911184270105625
20,22.5,31.998088459075383
20,22.75,32.084213677519806
20,23.0,32.16956690778447
20,23.25,32.254155069628304
20,23.5,32.3379850207846
20,23.75,32.42106355751698
20,24.0,32.50339741517036
20,24.25,32.58499326871704
20,24.5,32.66585773329783
20,24.75,32.74599736475835
20,25.0,32.82541866018053
20,25.25,32.90412805840937
20,25.5,32.98213194057489
20,25.75,33.059436630609525
20,26.0,33.13604839576079
20,26.25,33.211973447099346
20,26.5,33.287217940022614
20,26.75,33.36178797475375
20,27.0,33.43568959683623
20,27.25,33.50892879762395
20,27.5,33.581511514767
20,27.75,33.653443632692984
20,28.0,33.72473098308413
20,28.25,33.79537934535004
20,28.5,33.86539444709629
20,28.75,33.93478196458872
20,29.0,34.00354752321364
20,29.25,34.07169669793392
20,29.5,34.13923501374092
20,29.75,34.206167946102454
20,30.0,34.27250092140666
20,30.25,34.33823931740194
20,30.5,34.40338846363297
20,30.75,34.46795364187274
20,31.0,34.531940086550776
20,31.25,34.59535298517751
20,31.5,34.65819747876483
20,31.75,34.72047866224289
20,32.0,34.782201584873135
20,32.25,34.8433712506577
20,32.5,34.903992618745036
20,32.75,34.96407060383202
20,33.0,35.02361007656236
20,33.25,35.08261586392149
20,33.5,35.14109274962786
20,33.75,35.19904547452082
20,34.0,35.256478736944956
20,34.25,35.31339719313094
20,34.5,35.3698054575731
20,34.75,35.425708103403466
20,35.0,35.481109662762556
20,35.25,35.536014627166786
20,35.5,35.59042744787262
20,35.75,35.64435253623745
20,36.0,35.69779426407719
20,36.25,35.75075696402076
20,36.5,35.80324492986132
20,36.75,35.85526241690438
20,37.0,35.90681364231277
20,37.25,35.95790278544855
20,37.5,36.00853398821185
20,37.75,36.05871135537663
20,38.0,36.108438954923486
20,38.25,36.157720818369455
20,38.5,36.20656094109482
20,38.75,36.25496328266709
20,39.0,36.30293176716194
20,39.25,36.35047028348137
20,39.5,36.39758268566903
20,39.75,36.444272793222595
20,40.0,36.490544391403475
20,40.25,36.53640123154369
20,40.5,36.58184703134997
20,40.75,36.62688547520519
20,41.0,36.67152021446704
20,41.25,36.71575486776406
20,41.5,36.759593021289035
20,41.75,36.80303822908969
20,42.0,36.84609401335685
20,42.25,36.88876386470999
20,42.5,36.93105124248024
20,42.75,36.97295957499078
20,43.0,37.014492259834874
20,43.25,37.05565266415123
20,43.5,37.09644412489705
20,43.75,37.13686994911852
20,44.0,37.17693341421894
20,44.25,37.21663776822441
20,44.5,37.255986230047185
20,44.75,37.29498198974662
20,45.0,37.333628208787786
20,45.25,37.37192802029778
20,45.5,37.40988452931977
20,45.75,37.44750081306466
20,46.0,37.48477992116063
20,46.25,37.52172487590033
20,46.5,37.558338672485945
20,46.75,37.59462427927198
20,47.0,37.63058463800593
20,47.25,37.66622266406678
20,47.5,37.701541246701346
20,47.75,37.73654324925853
20,48.0,37.77123150942144
20,48.25,37.80560883943746
20,48.5,37.83967802634623
20,48.75,37.8734418322056
20,49.0,37.90690299431559
20,49.25,37.94006422544024
20,49.5,37.972928214027604
20,49.75,38.00549762442768
20,50.0,38.03777509710842
20,50.25,38.069763248869776
20,50.5,38.10146467305589
20,50.75,38.1328819397653
20,51.0,38.16401759605934
20,51.25,38.19487416616861
20,51.5,38.22545415169763
20,51.75,38.255760031827656
20,52.0,38.28579426351765
20,52.25,38.31555928170349
20,52.5,38.34505749949539
20,52.75,38.37429130837349
20,53.0,38.403263078381784
20,53.25,38.431975158320235
20,53.5,38.460429875935205
20,53.75,38.488629538108185
20,54.0,38.516576431042786
20,54.25,38.54427282045013
20,54.5,38.571720951732495
20,54.75,38.598923050165375
20,55.0,38.62588132107788
20,55.25,38.652597950031534
20,55.5,38.67907510299746
20,55.75,38.705314926531976
20,56.0,38.731319547950626
20,56.25,38.75709107550064
20,56.5,38.78263159853186
20,56.75,38.80794318766612
20,57.0,38.83302789496512
20,57.25,38.857887754096794
20,57.5,38.88252478050019
20,57.75,38.906940971548835
20,58.0,38.9311383067127
20,58.25,38.95511874771867
20,58.5,38.978884238709576
20,58.75,39.00243670640182
20,59.0,39.025778060241564
20,59.25,39.04891019255956
20,59.5,39.071834978724546
20,59.75,39.09455427729527
20,60.0,39.117069930171205
30,0.0,20.0
30,0.25,20.242165602981302
30,0.5,20.48169107757252
30,0.75,20.718605206878394
30,1.0,20.952936460205628
30,1.25,21.184712996483956
30,1.5,21.41396266764994
30,1.75,21.64071302199383
30,2.0,21.86499130746999
30,2.25,22.086824474971188
30,2.5,22.306239181567236
30,2.75,22.52326179370827
30,3.0,22.73791839039314
30,3.25,22.95023476630326
30,3.5,23.16023643490227
30,3.75,23.367948631501918
30,4.0,23.573396316294524
30,4.25,23.776604177352375
30,4.5,23.97759663359442
30,4.75,24.17639783772062
30,5.0,24.37303167911431
30,5.25,24.567521786712927
30,5.5,24.759891531847426
30,5.75,24.950164031050747
30,6.0,25.138362148835668
30,6.25,25.324508500442374
30,6.5,25.50862545455605
30,6.75,25.69073513599488
30,7.0,25.870859428368718
30,7.25,26.04901997670878
30,7.5,26.225238190068666
30,7.75,26.399535244097024
30,8.0,26.57193208358218
30,8.25,26.742449424968996
30,8.5,26.911107758848328
30,8.75,27.0779273524193
30,9.0,27.242928251924774
30,9.25,27.40613028506025
30,9.5,27.56755306335649
30,9.75,27.727215984536187
30,10.0,27.88513823484496
30,10.25,28.04133879135687
30,10.5,28.195836424254864
30,10.75,28.348649699086337
30,11.0,28.4997969789941
30,11.25,28.649296426923016
30,11.5,28.79716600780261
30,11.75,28.943423490705833
30,12.0,29.088086450984374
30,12.25,29.23117227238058
30,12.5,29.37269814911645
30,12.75,29.512681087959812
30,13.0,29.651137910267966
